Authority Terms,Mention only?,Researcher/Date,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,AssociatedPlaces,Birth Place,Death Place,Place of Residence,Source for Places,Birth Date,Death Date,Marriage Date,Source for Dates,Spouse,Occupation,Occupation Source,Gender,Languages,Religions,Religions Source,Organizations,Organizations Source,Associated Letters,PRINT ID,LOD - WikiData,LOD - VIAF,LOD - LOC,Notes,HSP,LSF,SAA,SBB,AFSt,Barclay,Spence,Abraham,Incomplete?,
"[Clare, Henry]",False,BNC 04/02/2025,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,"Only resource for him in Endnote is a geneaology list of the Clare family; only Henry Clare of note is {{https://id.loc.gov/authorities/names/n84233164.html}} but am unsure if this is the same Henry Clare or if it is his father (same name) (BNC 04/02/2025) Update: Henry Clare is the father of Ellen Clare, wife of Thomas Abraham (BNC 04/07/2025)",,,,,,,,1.0,,
"[Lacey, …, Captain]",False,,,,,,Captain,,,,,,,,,,,captain,,,,,,,,16133,P000482,,,,,1.0,,,,,,,,,
"[Pommer, Johann Jakob]",False,LAB 3/14/2025,,Giacomo,Giovanni,,,"Venice, Italy","Vienna, Austria","Venice, Italy",,https://digital.francke-halle.de/name/view/745273,1659-08-24,1717-08-19,,,,Merchant,https://digital.francke-halle.de/name/view/745273,Male,German; Italian,Pietist,https://digital.francke-halle.de/name/view/745273,,,AFSt-H_A_135_90,,,,,,,,,,1.0,,,,,
"Aa, W. Van Der",False,,,,Willem,,,,,,"Rotterdam, Netherlands",,,,,,,,,,,,,,,,P000834,,,,"Some sources populated, but need to look further to determine who might match this individual best.",,,1.0,,,,,,,
Abendanon?,False,AMF 4/21/2025,Abendana,,Jospeh,,,"Hamburg, Germany {{https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F9&dm=1&dokref=1&indx=%23F211%23&auft=Abendana%2C+Joseph}}",Spain {{https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F9&dm=1&dokref=1&indx=%23F211%23&auft=Abendana%2C+Joseph}},,,,before 1620-00-00 {{https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F9&dm=1&dokref=1&indx=%23F211%23&auft=Abendana%2C+Joseph}},,,,,,,Male,Spanish; Hebrew,Judaism {{https://archiv.francke-halle.de/hzeig.FAU?sid=39314B7F9&dm=1&dokref=1&indx=%23F211%23&auft=Abendana%2C+Joseph}},,,,,,,,,,,,,,1.0,,,,,
"Abraham, Robert",False,BNC 04/02/2025,,,,,esquire,,"Penrith, Cumberland, England {{https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854}}",,"126 St. Antoine St, Montreal, Canada {{https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854}}",,c. 1804 {{https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854}},c. 1854 {{https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854}},c. 1851 {{https://archivalcollections.library.mcgill.ca/index.php/abraham-robert-1804-1854}},,Sarah Seed,Journalist; Editor in Chief for Montreal Gazette ,,Male,English,,,,,,,n.a.,n.a.,n.a.,son of Thomas Abraham and Orpah Clarke Abraham (BNC 04/03/2025),,,,,,,,1.0,,
"Abraham, Sarah",False,BNC 04/18/2025,Forster; Foster,,,Forster; Foster,,,"Hawthorn, Durham, England {{https://archive.org/details/someaccountofped00fost/page/8/mode/2up}}","Manchester, England {{https://archive.org/details/someaccountofped00fost/page/8/mode/2up}}","Swarthmoor Hall, Swarthmoor, Lancashire, England",,1702-01-26 {{https://search.findmypast.co.uk/record?id=TNA%2FRG6%2F1579%2F0%2F0023&parentid=TNA%2FRG6%2FBAP%2F51946}},1777-09-17 {{https://search.findmypast.co.uk/record?id=TNA%2FRG6%2F0821%2F0%2F0026&parentid=TNA%2FRG6%2FBUR%2F742378}},1722-11-22 {{https://search.findmypast.co.uk/record?id=TNA%2FRG6%2F1579%2F0%2F0024&parentid=TNA%2FRG6%2FMAR%2F978%2F1}},,John Abraham II (son of Daniel and Rachel Abraham),n.a,,Female,English,Quaker,,,,,,n.a.,n.a.,n.a.,,,,,,,,,1.0,,
"Abraham Sr, Thomas",False,BNC 04/18/2025,,,,,,,"Swarthmoor Hall, Swarthmoor, Lancashire, England","Swarthmoor Hall, Swarthmoor, Lancashire, England",,,c.1689,c.1695,n.a.,,n.a.,n.a,,Male,English,Quaker,,,,,,n.a.,n.a.,n.a.,died at 6 years old (BNC 4/18/2025),,1.0,,,,,,1.0,,
"Abraham Jr, Thomas",False,BNC 04/18/2025,,,,,,,,"Penrith, Cumbria, England {{https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater}}",,,1723-09-19 {{https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater}},1778-06-01 {{https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater}},1749-08-17 {{https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater}},,Ellen Clare {{https://archive.org/details/someaccountofped00fost/page/20/mode/2up}},merchant {{https://archive.org/details/pedigreeofforste00fost/page/n59/mode/2up?view=theater}},,Male,English,Quaker,,,,,,n.a.,n.a.,n.a.,manually added; need to check if person appears in Spence,,1.0,,,,,,1.0,,
"Abraham III, Thomas",False,BNC 04/18/2025,,,,,,,"Seaton, Devon, England {{https://archive.org/details/someaccountofped00fost/page/20/mode/2up}}","Carlisle, Cumbria, England {{https://archive.org/details/someaccountofped00fost/page/20/mode/2up}}",,,1771-03-01 {{https://archive.org/details/someaccountofped00fost/page/20/mode/2up}},1861-11-02 {{https://archive.org/details/someaccountofped00fost/page/20/mode/2up}},1803-10-08 {{https://archive.org/details/someaccountofped00fost/page/20/mode/2up}},,Orpah Clarke {{https://archive.org/details/someaccountofped00fost/page/20/mode/2up}},accountant; school master {{https://archivalcollections.library.mcgill.ca/index.php/abraham-thomas-1771-1861}},,Male,English,Quaker,,,,,,n.a.,n.a.,n.a.,manually added; need to check if person appears in Spence,,1.0,,,,,,1.0,,
"Abrahams, Jan",False,BREN,Abrahamsz; Abrams,,John; Johan; Johannes,,,,,,"Brielle, Netherlands",GAMEO,,,,,,Preacher,GAMEO,Male,Dutch,Mennonite,,Brielle Congregation,,,P000836,,,,,,,1.0,,,,,,,
"Abschr., Kurf. Brnadeb. Commissarii Entw. Bezw.",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Ackerman, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000169,,,,,1.0,,,,,,,,,
"Adams, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16160,P000821,,,,,1.0,,,,,,,,,
"Aken, Coenraad Van",False,BREN,Akken; Aachen,,Conrad; Konrad; Conraad; Conradt; Coenraadt; Koenraad,,,,,,"Haarlem, Netherlands",,,,,,,Teacher,,Male,Dutch,Mennonite,,Committee for Foreign Need,,,P000837,,,,,,,1.0,,,,,,,
"Aken, Frans Van",False,BREN,Akken; Aachen,,Franz,,,,,,"Amsterdam, Netherlands",GAMEO,,,,,,,,Male,,,,Committee for Foreign Need,,,P000838,,,,,,,1.0,,,,,,,
"Akersloot, Volkert Arentsz",False,BREN,Ackersloot,,Valker; Folkert; Falker; Volckert,,,,,,"Hoorn, Netherlands",,,,,,,,,Male,Dutch,,,,,,P000839,,,,There is an Arent Volckersz Akersloot who pops up with a wedding box dated to around 1693. This could either be a son or a father of Volkert (in accordance with naming conventions) though I am more partial towards the former due to the date. Letters we have for Volkert are 1690 and 1693 in Hoorn. ,,,1.0,,,,,,,
"Alkmaar, Adriaan Van",False,BREN,Alckmaar; Alkmar; Alkamaer,,Adrian; Adrien; Adriaen,,,,,,"Rotterdam, Netherlands",,,,,,,,,Male,,,,Rotterdam Congregation,,,P000840,,,,,,,1.0,,,,,,,
"Allcock, Edward",False,,Haycock; Allcocke; Alcocke; Alcock,,,,,,,,,,,,,,,,,Male,English,,,,,16097,P000003,,,,,1.0,,,,,,,,,
"Allens, James",False,,Allons,,,,,"Bolton, Lancashire, England",,,,,,,,,,,,Male,English,,,,,16119,P000172,,,,,1.0,,,,,,,,,
"Allenson, Reginald",False,,Allinson,,,,,,,,,,,,,,,,,Male,English,,,,,15955,P000004,,,,,1.0,,,,,,,,,
"Allred, Ellen",False,,Alfred,,Ellin,,,,,,,,,,,,,,,Female,English,,,,,,P000173,,,,,1.0,,,,,,,,,
"Allred, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15825,P000005,,,,"Referred to as ""uncle"" by Phineas in #15825",1.0,,,,,,,,,
"Andriessen, Johan",False,BREN,Anderson; Andries; Andriesson; Andrison; Andrieszen,,Johannes; John; Jan,,,,,,,,,,,,,,,Male,,,,,,,P000842,,,,,,,1.0,,,,,,,
"Andriessen, Pieter",False,BREN,Anderson; Andries; Andriesson; Andrison; Andrieszen,,Peter; Peder,,,,,"Duisburg, Germany?",,GAMEO,,≤1726,,GAMEO,,,,Male,,,,,,,P000843,,,,,,,1.0,,,,,,,
"Anken, Hans",False,BREN,Ancken; Ankum,,Hannes; Hanß,,,,"Spiez, Niedersimmental, Bern, Switzerland","Selwerd, Noorddijk, Groningen, Netherlands","Groningen, Netherlands",GAMEO,1674-03-15,1743-00-00,ca. 1709; 1722-05-18,GAMEO,,Farmer; Preacher,GAMEO,Male,Dutch; German,Mennonite,,Groningen Congregation; Swiss Brethren; Nieuwe Zwitsers,GAMEO,,P000841,,,,,,,1.0,,,,,,,
"Anklam, Joachim Van",False,BREN,Ancklam; Eynde,,Joaquin; Joachem,,,,,"Amsterdam, Netherlands","Amsterdam, Netherlands",GAMEO,,"May 20, 1755",,SAA,,Deacon,GAMEO,Male,Dutch,Mennonite,,Congregation of the Lam; Committee for Foreign Need,,,P000844,,,,Baptism source says he died May 15 1756. Burial source is displayed. ,,,1.0,,,,,,,
"Anna Sophia, Sachsen, Kurfürstin",False,,,,,,Kurfürstin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Apostool, Andries",False,BREN,Apostole; Apostol,,Andres; Andreas,,,,"Amsterdam, Netherlands",,"Amsterdam, Netherlands",OpenArchieven,1694-04-26,1784-06-25|presumably,,OpenArchieven,,Deacon,GAMEO,Male,Dutch,Mennonite,,Congregation of the Zon,,,P000845,,,,,,,1.0,,,,,,,
"Apostool, Pieter",False,BREN,Apostole; Apostol,,Peter; Peder,,,,,,"Amsterdam, Netherlands",,,,,,,Deacon,New Dutch Biographical Dictionary,Male,Dutch,Mennonite,,Congregation of the Zon,,,P000846,,,,,,,1.0,,,,,,,
"Arch, Robert",False,LKM 3/31/25,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000176,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Arentsz, Meijndert",False,BREN | 11/17/24; 11/20/24,Arents; Arenz,,Meinhard; Myndert; Meinert,,,,,,"Zaandam, Netherlands",,,,,,,,,Male,Dutch,,,,,,P000847,,,,"A lot of sources for Meijndert, but none that concretely lend to any of these fields. ",,,1.0,,,,,,,
